Text                     ,HR                       ,"Veloc, Vento",Pisc_scobert,Pisc_scobert_50m2,50m2_Ts_colect   ,PavCol_scobert,Pisc_ccobert_50m2
9.2,91,3.1,21.8924634,20,20,20,20
8.9375,91.875,2.4875,21.2913976,19.83589719,8.9375,19.83589719,19.9017709
8.6375,92.875,1.7875,20.97226607,19.69336859,8.6375,19.69336859,19.82097507
8.38125,94.3125,1.7875,20.70027552,19.57969591,8.38125,19.57969591,19.76714957
8.13125,95.8125,1.8875,20.75251775,19.46388735,8.13125,19.46388735,19.71119208
7.925,96.875,2.03125,21.17551225,19.34549024,7.925,19.34551086,19.65275314
7.725,97.875,2.18125,21.8449045,19.22408184,7.725,19.22410225,19.59148806
7.56875,98,2.15625,22.45482806,19.1016613,7.56875,19.10168151,19.52900052
7.41875,98,2.10625,22.76375329,18.98019159,7.41875,18.9802116,19.46691869
7.3125,98,2.14375,22.72308393,18.85883115,7.3125,18.85893168,19.4045598
7.2125,98,2.19375,22.47342692,18.73675542,7.2125,18.73693489,19.34123592
7.2,98,2.725,22.18596673,18.60898959,7.2,18.60921202,19.27281353
7.2,98,3.325,21.72618283,18.47108026,7.2,18.47134048,19.19534031
7.33125,98,2.91875,21.13448755,18.33479308,7.33125,18.33503634,19.11834664
7.48125,98,2.36875,20.83152901,18.21114301,7.48125,18.21136127,19.05098205
7.9375,97.5625,2.69375,20.55031076,18.11693558,20.94816917,18.09482217,19.00884893
8.4375,97.0625,3.14375,20.58803334,18.1147277,22.33876925,18.00068722,19.0299533
9.15625,94.8125,2.85,20.99218767,18.0666392,20.83410364,17.91297345,18.9705983
9.90625,92.3125,2.45,21.64136232,18.12785217,23.61180241,17.86478819,19.02110927
10.7,89.8125,2.88125,22.23717432,18.15162902,21.65040849,17.81821166,19.0341756
11.5,87.3125,3.43125,22.54389082,18.23511737,23.41414139,17.79207993,19.10619393
12.2125,84.8125,3.15,22.50832831,18.30284425,22.44133064,17.76935119,19.16246304
